id,positive,negative
523335498774093000,0,0
315248817320628000,0,0
331954998546141000,0,0
486536961398951000,0,0
325326756422758000,0,0
525103343581298000,0,0
519888062080634000,1,0
473197988525780000,0,1
347014671951335000,3,0
318774498713296000,1,0
335415534105538000,0,1
466561156640161000,0,0
463679103581704000,1,0
456112709218492000,0,0
463000670568976000,0,0
335010121266642000,0,0
346993507627565000,1,0
449985992959606000,0,1
309123518585503000,0,0
335212751934853000,0,0
539069230717485000,0,0
422495920513880000,0,0
384403658445955000,2,0
443163558881533000,0,0
381650626251202000,0,0
310109691747381000,1,0
395943115607273000,1,0
360151102039146000,0,0
526736148388143000,0,0
429235567143190000,0,0
547497416283262000,1,0
371619835051913000,1,0
350378684454146000,0,0
301345517332471000,0,0
330491312166010000,2,0
345714081312944000,0,0
436617139504816000,0,0
344594449478873000,1,0
512129031735484000,0,0
330133869267402000,0,0
529902734729035000,0,0
436029173648199000,0,1
526178553361354000,0,0
316546337812410000,0,3
509362900780466000,0,0
446123638811410000,0,0
528748898492219000,0,0
508350802558451000,0,0
441590359551123000,2,0
455489813240508000,0,0
449586569251287000,0,0
424617135328231000,0,1
398997982479015000,0,0
465247357911584000,2,0
535666463101947000,0,0
303955380852105000,0,0
353345864808411000,0,1
348192499946381000,1,0
345582946402586000,0,0
370823055808806000,0,0
297771228054306000,0,0
364780204394164000,0,0
470133898224349000,1,0
390178543860072000,0,0
380477618044555000,0,0
415560068651028000,0,0
444200718249910000,0,0
349628369417158000,0,2
344189804184997000,0,0
359491678064750000,1,0
528039192819818000,0,0
388988322229399000,1,0
410584751632695000,0,0
390985100336566000,1,0
409090283427467000,0,1
539146330606960000,0,0
347148524774891000,0,0
296394472667885000,0,0
507907179555594000,2,1
312682855031533000,0,0
410849856702267000,0,0
509704954710622000,0,0
331596334941487000,0,0
538644092042108000,1,0
359096448861736000,0,0
410263295795691000,0,0
317046923540455000,0,0
383663166712184000,1,0
534050301528256000,0,0
425767591001325000,0,0
365923638832144000,1,0
479622177520885000,0,0
396702658180165000,0,0
352445628728619000,0,0
363356615816122000,0,0
416997598931996000,0,0
341169502660218000,1,0
346770777409994000,0,0
360510424120172000,0,0
418350349976887000,0,0
531844382916214000,0,0
336152624413941000,1,0
376378705192710000,0,1
481463023711035000,0,0
414851457557737000,1,0
464404806426451000,0,0
524607249764077000,1,0
517746148619325000,0,0
429053098079047000,0,0
542310479725875000,0,0
509528282329776000,0,0
307984626587164000,0,0
344501646459551000,1,0
424698450182029000,3,0
498996301027999000,0,0
438486884973834000,0,0
402585198904086000,1,0
457585761446268000,0,0
381225579795582000,0,0
372356719747137000,1,0
525323481412812000,3,1
382800322693197000,1,0
514942222538526000,1,0
400731895287541000,2,0
304165746437652000,0,0
512440576147730000,0,0
358980501186416000,2,0
496063295506616000,0,0
327211857062535000,0,0
419196487860776000,1,0
493844194117836000,0,0
344677014671855000,0,0
471839126262534000,0,0
489136951782412000,0,0
346994912920735000,0,1
353173034435219000,1,0
310891912775208000,0,1
440766723965194000,1,4
344583435509194000,0,2
546796300495515000,0,0
524646080688820000,0,0
529047365005881000,0,1
346819486059462000,1,0
347142095036887000,1,0
354601534706810000,0,0
445003004622553000,0,0
419185503250821000,0,1
430560308735004000,0,0
411518080452665000,0,0
322537200426299000,0,0
314801700131180000,1,0
363377167914528000,1,0
467370980176691000,0,0
409605733613703000,0,0
361344344084602000,0,0
461244037568430000,1,0
286514479271923000,0,0
437570878277050000,0,0
546606382662037000,1,0
346813337075601000,0,0
342365655204507000,0,1
426727906144841000,0,0
542051523438862000,0,0
502581482893103000,1,0
431476474659368000,0,0
458633091737608000,1,1
502572440187600000,1,0
428340783759245000,1,0
502881652528668000,2,0
409662805642444000,0,0
368527290805665000,1,0
526184819458576000,0,0
326394697767596000,0,0
336231741268303000,0,1
538094323418791000,0,0
304241608830894000,1,0
298249701298405000,0,0
446059033683062000,1,1
309139280884805000,1,0
526494694730379000,1,0
510411489468243000,1,0
489724963918602000,0,0
407605612869353000,1,0
321299348019347000,1,0
288459101292351000,0,0
342271006569791000,0,1
430376040545128000,0,0
331137826299199000,1,0
429861445522575000,0,0
317306630976970000,0,0
324960228791697000,0,0
364202103775834000,0,0
474588391800324000,1,0
353255427477217000,0,0
356724712535101000,0,0
